Title,Description,Tags
Checking accessibility defaults,"Working | Components and Patterns

What is this skill?:

Checking accessibility defaults involves verifying that components have proper ARIA attributes, labels, and focus states built in, and understanding what accessibility features come out of the box.

Why is it important?:

• Compliance – Ensure your prototype meets accessibility standards

• Inclusive design – Components work for users with disabilities

• Testing confidence – Know what's already handled vs what you need to add

• Learning – Understand accessibility best practices through examples

Where to learn more:

• GOV.UK Design System: Accessibility

• NHS digital service manual: Accessibility","working,components-and-patterns,no-change"
Cleaning up before sharing,"Practitioner | Setup and Deployment

What is this skill?:

Cleaning up before sharing involves removing unused files, test data, console logs, and commented-out code before sharing your prototype with stakeholders or deploying it for user research.

Why is it important?:

• Professionalism – Clean prototypes reflect well on your team

• Reduced confusion – Remove dead ends and incomplete journeys

• Performance – Smaller prototypes load faster

• Security – Remove any test credentials or sensitive data

Where to learn more:

• GOV.UK Prototype Kit: Publishing

• Clean Code principles

• Git: Removing files","practitioner,setup-and-deployment,no-change"
Cleaning up prototypes,"Expert | Setup and Deployment

What is this skill?:

Cleaning up prototypes involves refactoring code after user research sessions, removing dead ends and unused code, consolidating learnings, and preparing the prototype for the next iteration or handover.

Why is it important?:

• Maintainable codebase – Clean prototypes are easier to update and extend

• Clear documentation – Helps team members understand what was tested and learned

• Efficient handover – Developers can better understand intended interactions

• Reduced technical debt – Prevents prototypes from becoming unmaintainable over time

Where to learn more:

• GOV.UK Service Manual: Prototyping

• GOV.UK Service Manual: Retiring your prototype","expert,setup-and-deployment,no-change"
Clearing session data,"Working | Data and Logic

What is this skill?:

Clearing session data involves resetting the prototype to a clean state, removing all stored user input so you can start a fresh journey without previous answers affecting the experience.

Why is it important?:

• Clean testing – Start each research session with no pre-existing data

• Multiple scenarios – Test different journeys without interference from old data

• Debugging – Rule out stale data as a cause of unexpected behaviour

• User research – Ensure each participant starts with a blank slate

Where to learn more:

• GOV.UK Prototype Kit: Clear session data

• GOV.UK Prototype Kit: Storing data","working,data-and-logic,no-change"
Complex data structures,"Expert | Data and Logic

What is this skill?:

Complex data structures involves working with nested objects, arrays of objects, and multi-level data hierarchies that represent real-world service data.

Why is it important?:

• Real-world simulation – Match how production systems structure data

• Multi-item forms – Handle ""add another"" patterns with arrays

• Relationship mapping – Connect related pieces of information

• Advanced prototypes – Build sophisticated data-driven features

Where to learn more:

• MDN: Working with objects

• Nunjucks: Variables","expert,data-and-logic,no-change"
Complex 'if/else' logic,"Expert | Data and Logic

What is this skill?:

Complex 'if/else' logic involves handling multiple conditions with elif (else if) statements and nested conditionals to manage sophisticated display rules.

Why is it important?:

• Multiple outcomes – Handle more than two possible states

• Compound conditions – Check multiple criteria together

• Nested logic – Build complex decision trees in templates

• Edge cases – Handle unusual combinations of user input

Where to learn more:

• Nunjucks: If/elif/else

• Nunjucks: Comparisons","expert,data-and-logic,no-change"
Conditional components,"Practitioner | Components and Patterns

What is this skill?:

Conditional components involves showing or hiding entire components based on user data or logic, such as only displaying certain form fields when relevant conditions are met.

Why is it important?:

• Relevant content – Only show what's applicable to each user

• Cleaner interfaces – Reduce clutter by hiding irrelevant elements

• Progressive disclosure – Reveal information as it becomes relevant

• Dynamic forms – Adapt the interface based on earlier answers

Where to learn more:

• Nunjucks: If statement

• GOV.UK Design System: Conditional reveal","practitioner,components-and-patterns,no-change"
Confirmation pages,"Practitioner | Pages and Layouts

What is this skill?:

Confirmation pages are the ""end of journey"" screens that tell users they've successfully completed a task. They include reference numbers, next steps, and important information.

Why is it important?:

• User confidence – Confirms the action was successful

• Next steps – Tells users what happens next and what they need to do

• Reference information – Provides details users may need later

• Journey completion – Essential for testing the full user experience

Where to learn more:

• GOV.UK Design System: Confirmation page

• GOV.UK Design System: Panel","practitioner,pages-and-layouts,no-change"
Copying code from the Design System,"Working | Components and Patterns

What is this skill?:

Copying code from the Design System involves finding the right component in the documentation, copying the HTML or Nunjucks example, and adapting it for your prototype.

Why is it important?:

• Quick implementation – Get components working fast

• Correct structure – Start with properly formatted code

• Learn patterns – Understand how components are built

• Avoid mistakes – Copy tested code rather than writing from scratch

Where to learn more:

• GOV.UK Design System

• NHS digital service manual","working,components-and-patterns,no-change"
Create custom macros,"Practitioner | Components and Patterns

What is this skill?:

Creating custom macros involves building your own reusable Nunjucks components that accept parameters and output HTML, similar to how GOV.UK Frontend components work.

Why is it important?:

• Reusability – Build once, use across multiple pages

• Consistency – Ensure the same pattern looks identical everywhere

• Maintainability – Update the macro once to fix issues everywhere

• Team efficiency – Share components with colleagues

Where to learn more:

• Nunjucks: Macro

• GOV.UK Frontend source code","practitioner,components-and-patterns,no-change"
Creating a new page,"Working | Pages and Layouts

What is this skill?:

Creating a new page involves adding a new .html file to the app/views folder, setting up the basic template structure, and extending the correct layout to ensure consistency with other pages.

Why is it important?:

• Build your prototype – You need pages to create any user journey

• Correct structure – New pages must extend layouts to work properly

• Organised files – Learn to name and place files logically

• Efficient workflow – Know when to duplicate existing pages vs. starting fresh

Where to learn more:

• GOV.UK Prototype Kit: Create pages

• NHS Prototype Kit: Views","working,pages-and-layouts,no-change"
Creating data maps,"Expert | Data and Logic

What is this skill?:

Creating data maps involves structuring user input into organised data objects or JSON structures, transforming flat form data into meaningful hierarchies.

Why is it important?:

• Organised data – Keep user responses structured and easy to access

• Complex forms – Handle multi-part forms with nested data

• API simulation – Mimic how real services structure data

• Check answers pages – Easily iterate over structured data for summaries

Where to learn more:

• MDN: Working with objects

• GOV.UK Design System: Check answers","expert,data-and-logic,no-change"
Custom Nunjucks filters,"Expert | Data and Logic

What is this skill?:

Custom Nunjucks filters are JavaScript functions you write to transform data in templates, extending the built-in filters with your own formatting logic.

Why is it important?:

• Custom formatting – Format dates, currencies, or text your way

• Reusable logic – Write once, use across all templates

• Clean templates – Keep complex transformations out of views

• Consistent output – Ensure data is always formatted the same way

Where to learn more:

• Nunjucks: Custom filters

• GOV.UK Prototype Kit: Filters","expert,data-and-logic,no-change"
Customizing CSS for patterns,"Practitioner | Components and Patterns

What is this skill?:

Customizing CSS for patterns involves writing custom Sass or CSS to modify the appearance of standard components or create new visual styles for your prototype.

Why is it important?:

• Visual testing – Test design variations with stakeholders

• Brand requirements – Adapt patterns for specific service needs

• Gap filling – Style elements not covered by the design system

• Iteration – Quickly try different visual approaches

Where to learn more:

• GOV.UK Prototype Kit: CSS and Sass

• GOV.UK Design System: Styles","practitioner,components-and-patterns,no-change"
Customizing the start page,"Practitioner | Pages and Layouts

What is this skill?:

Customizing the start page involves building a standard GOV.UK or NHS service start page with guidance, eligibility information, and a clear call-to-action button.

Why is it important?:

• First impression – The start page sets user expectations for the service

• Eligibility checking – Help users understand if the service is right for them

• Reduce drop-off – Clear guidance prevents users starting journeys they can't complete

• Design system compliance – Follow the standard start page pattern

Where to learn more:

• GOV.UK Design System: Start page pattern

• GOV.UK Service Manual: Start pages","practitioner,pages-and-layouts,no-change"
Data in the URL,"Working | Data and Logic

What is this skill?:

Data in the URL involves understanding how query strings (like ?name=value) can pass information between pages, and how to read these parameters in your prototype.

Why is it important?:

• Deep linking – Link directly to specific states or scenarios

• External integration – Receive data from other systems via URLs

• Testing shortcuts – Jump to specific journey points with pre-set data

• Sharing states – Send links that reproduce specific prototype states

Where to learn more:

• MDN Web Docs: Query strings

• Express.js: Request query","working,data-and-logic,no-change"
Date manipulation,"Practitioner | Data and Logic

What is this skill?:

Date manipulation involves calculating dates (like ""3 working days from now""), formatting dates for display, and comparing dates in your prototype logic. The date-fns library is commonly used for this.

Why is it important?:

• Dynamic deadlines – Show realistic future dates based on today

• Date formatting – Display dates in the GOV.UK style (1 January 2024)

• Validation – Check if dates are in the past or future

• Calculations – Add or subtract days, months, or years

Where to learn more:

• GOV.UK Design System: Dates

• date-fns documentation

• MDN: Date object","practitioner,data-and-logic,no-change"
Debugging,"Practitioner | Setup and Deployment

What is this skill?:

Debugging involves systematically finding and fixing problems in your prototype. This includes using browser developer tools, reading terminal error messages, and using console.log to inspect data.

Why is it important?:

• Self-sufficiency – Fix your own problems without waiting for help

• Faster iteration – Quickly identify and resolve issues during development

• Learn how things work – Debugging teaches you how the kit functions internally

• Better code quality – Understanding errors helps you write more robust prototypes

Where to learn more:

• Chrome DevTools documentation

• MDN Web Docs: Debugging JavaScript","practitioner,setup-and-deployment,no-change"
Deep linking,"Practitioner | Pages and Layouts

What is this skill?:

Deep linking involves creating URLs that link directly to specific states or pages within your prototype, including form data or session state. This allows testers to jump directly to a specific point in a journey.

Why is it important?:

• User research efficiency – Jump directly to the screen you want to test

• Bug reporting – Share exact URLs that reproduce issues

• Stakeholder reviews – Send links to specific pages for feedback

• Testing edge cases – Create URLs that set up specific scenarios

Where to learn more:

• GOV.UK Prototype Kit: Pass data with URLs

• Express.js: Route parameters

• MDN: URL query strings","practitioner,pages-and-layouts,no-change"
Deploying to Heroku,"Practitioner | Setup and Deployment

What is this skill?:

Deploying to Heroku involves pushing your prototype code to Heroku's servers so it's accessible online. This includes setting up the app, configuring environment variables, and managing deployments.

Why is it important?:

• Share your work – Make prototypes accessible to stakeholders and users

• Remote research – Conduct user research sessions with participants anywhere

• Continuous updates – Push changes and see them live within minutes

• Professional workflow – Deployment skills are valuable across all development work

Where to learn more:

• GOV.UK Prototype Kit: Publishing on Heroku

• Heroku: Deploying Node.js apps","practitioner,setup-and-deployment,no-change"
Design system contribution,"Expert | Components and Patterns

What is this skill?:

Design system contribution involves refining prototype patterns to meet the quality standards required for inclusion in the official GOV.UK or NHS design systems.

Why is it important?:

• Community benefit – Share your work to help others

• Quality improvement – Contribution process improves your patterns

• Recognition – Contribute to widely-used government resources

• Learning – Understand how design systems are built and maintained

Where to learn more:

• GOV.UK Design System: Propose a component

• GOV.UK Design System: Develop a component","expert,components-and-patterns,no-change"
Different data types,"Working | Data and Logic

What is this skill?:

Understanding different data types means knowing the difference between strings, numbers, booleans, arrays, and objects. This is essential for handling user input and building logic.

Why is it important?:

• Correct comparisons – Comparing ""1"" (string) and 1 (number) behaves differently

• Form handling – Form inputs are always strings; you may need to convert them

• Conditional logic – Booleans are essential for branching

• Data structures – Arrays and objects let you manage lists and complex data

Where to learn more:

• MDN Web Docs: JavaScript data types

• GOV.UK Prototype Kit: Storing data","working,data-and-logic,no-change"
Dynamic routing logic,"Expert | Pages and Layouts

What is this skill?:

Dynamic routing logic involves advanced server-side routing that changes the user's path based on complex combinations of session data, external factors, or calculated states.

Why is it important?:

• Complex services – Handle sophisticated eligibility and routing requirements

• Personalisation – Tailor journeys based on user characteristics

• Integration simulation – Mimic real backend logic and API responses

• Edge case handling – Manage unusual scenarios gracefully

Where to learn more:

• GOV.UK Prototype Kit: Create routes

• Express.js: Routing","expert,pages-and-layouts,no-change"
Email notification preview,"Expert | Data and Logic

What is this skill?:

Email notification preview involves creating pages that show what emails or letters would look like, using data from the user's session. This helps test email content and timing during user research.

Why is it important?:

• Realistic testing – Users can see what emails they'd receive

• Content testing – Test if email wording is clear and actionable

• Journey completeness – Show the full experience including notifications

• Stakeholder review – Get sign-off on notification content

Where to learn more:

• GOV.UK Notify

• GOV.UK Notify templates

• GOV.UK Service Manual: Sending emails and letters","expert,data-and-logic,no-change"
Environment variables,"Practitioner | Setup and Deployment

What is this skill?:

Environment variables allow you to configure your prototype differently for local development versus deployment. They're used to store settings like feature flags, API keys, or environment-specific URLs without hardcoding them.

Why is it important?:

• Security – Keep sensitive data out of your codebase

• Flexibility – Change behaviour without modifying code

• Deployment ready – Configure differently for Heroku vs local

• Feature toggles – Enable or disable features per environment

Where to learn more:

• GOV.UK Prototype Kit: Environment variables

• Heroku: Configuration and config vars

• Node.js process.env","practitioner,setup-and-deployment,no-change"
Error page handling,"Practitioner | Pages and Layouts

What is this skill?:

Error page handling involves creating custom 404 (not found) and 500 (server error) pages for your prototype. This helps test how users respond to errors and ensures a consistent experience when things go wrong.

Why is it important?:

• User experience – Guide users back to safety when they hit an error

• Realistic testing – Test error scenarios during user research

• Consistent branding – Error pages should match your service design

• Debugging – Custom error pages can show helpful developer information

Where to learn more:

• GOV.UK Design System: Error pages

• Express.js error handling

• GOV.UK Service Manual: Error pages","practitioner,pages-and-layouts,no-change"
Errors in routes,"Practitioner | Setup and Deployment

What is this skill?:

Debugging errors in routes involves understanding how the routes.js file works and troubleshooting issues that prevent your prototype from handling form submissions, redirects, and page navigation correctly.

Why is it important?:

• Unblock development – Route errors stop your prototype from working entirely

• Understand data flow – Debugging routes teaches you how data moves through your prototype

• Build confidence – Once you can fix route errors, you can tackle more complex logic

• Better error messages – Learn to read Node.js error messages to quickly identify problems

Where to learn more:

• GOV.UK Prototype Kit: Using routes

• Express.js routing guide","practitioner,setup-and-deployment,no-change"
Extend layout files,"Practitioner | Pages and Layouts

What is this skill?:

Extending layout files involves using Nunjucks template inheritance to modify block structures for specific page needs, creating custom layouts that still inherit from the base template.

Why is it important?:

• Customisation – Create page-specific layouts while maintaining consistency

• Efficiency – Reuse common structures across multiple pages

• Flexibility – Override only the blocks you need to change

• Maintainability – Keep your codebase organised and DRY

Where to learn more:

• GOV.UK Prototype Kit: Templates and layouts

• Nunjucks: Template inheritance","practitioner,pages-and-layouts,no-change"
Filtering data,"Expert | Data and Logic

What is this skill?:

Filtering data involves using logic to display specific subsets of information from arrays or objects based on conditions, such as showing only completed tasks or matching search results.

Why is it important?:

• Dynamic displays – Show only relevant items from larger datasets

• Search results – Filter lists based on user queries

• Status filtering – Display items by their current state

• Performance – Show manageable subsets of large data sets

Where to learn more:

• Nunjucks: For loops with conditions

• MDN: Array.filter()","expert,data-and-logic,no-change"
Folder structure,"Working | Setup and Deployment

What is this skill?:

Understanding the folder structure means knowing where to find and place different types of files in the prototype kit. This includes the app folder for views, routes, and assets, as well as configuration files in the root.

Why is it important?:

• Find files quickly – Know exactly where to look for views, routes, and styles

• Organise your work – Keep your prototype tidy and maintainable

• Avoid breaking things – Understand which files are safe to edit and which to leave alone

• Collaborate effectively – Team members can navigate the project consistently

Where to learn more:

• GOV.UK Prototype Kit: Folder structure

• NHS Prototype Kit: Project structure","working,setup-and-deployment,no-change"
Form element validation states,"Practitioner | Components and Patterns

What is this skill?:

Form element validation states involves implementing error styling, error messages, and error summaries on form components to show users when they've made mistakes.

Why is it important?:

• User guidance – Help users understand and fix their errors

• Accessibility – Error states must be announced to screen readers

• Design system compliance – Follow GOV.UK error patterns correctly

• Realistic testing – Test how users respond to validation feedback

Where to learn more:

• GOV.UK Design System: Error message

• GOV.UK Design System: Error summary","practitioner,components-and-patterns,no-change"
Form layout design,"Practitioner | Pages and Layouts

What is this skill?:

Form layout design involves organizing complex forms with fieldsets, legends, hint text, and proper spacing to create accessible, user-friendly form pages.

Why is it important?:

• Accessibility – Properly structured forms work with assistive technologies

• Usability – Good layout reduces user errors and confusion

• Design system compliance – Follow GOV.UK form patterns

• Complex forms – Handle multi-part questions and grouped inputs correctly

Where to learn more:

• GOV.UK Design System: Fieldset

• GOV.UK Service Manual: Form structure","practitioner,pages-and-layouts,no-change"
Generating reference numbers,"Practitioner | Data and Logic

What is this skill?:

Generating reference numbers involves creating unique identifiers for submissions or applications in your prototype. These help make confirmation pages feel realistic and can be used to track test scenarios.

Why is it important?:

• Realistic prototypes – Users expect a reference number after submitting

• User research – Test if users understand what to do with reference numbers

• Scenario tracking – Identify different test sessions or submissions

• Confidence building – Reference numbers reassure users their submission was received

Where to learn more:

• GOV.UK Design System: Confirmation pages

• JavaScript random string generation

• UUID generation in Node.js","practitioner,data-and-logic,no-change"
Git basics,"Practitioner | Setup and Deployment

What is this skill?:

Git basics involves using version control to track changes to your prototype, create commits, and push your code to remote repositories like GitHub. This protects your work and enables collaboration.

Why is it important?:

• Never lose work – Git tracks every change, so you can always recover previous versions

• Collaboration – Share your prototype with team members and work together

• Deployment – Most hosting platforms (like Heroku) use Git for deployment

• Professional practice – Version control is standard in all software development

Where to learn more:

• GitHub: Git handbook

• GOV.UK Prototype Kit: Publishing on the web","practitioner,setup-and-deployment,no-change"
Hard-coding data,"Working | Pages and Layouts

What is this skill?:

Hard-coding data means placing static content directly into pages for quick testing, rather than pulling it from session data or external sources. This is useful for rapid prototyping.

Why is it important?:

• Speed – Quickly test page designs without setting up data flows

• Simplicity – Easier to understand when learning the kit

• Demonstration – Show stakeholders a specific scenario without complex logic

• Starting point – Often the first step before making content dynamic

Where to learn more:

• GOV.UK Prototype Kit: Create pages

• GOV.UK Design System: Components","working,pages-and-layouts,no-change"
Installing the kit,"Working | Setup and Deployment

What is this skill?:

Installing the kit involves downloading the prototype kit, setting up Node.js, and running npm install to get all dependencies. This is the first step before you can start building prototypes.

Why is it important?:

• Get started – You cannot prototype without first installing the kit

• Understand dependencies – Learn how Node.js and NPM work together

• Troubleshoot setup issues – Know how to fix common installation problems

• Set up new projects – Create fresh prototypes whenever needed

Where to learn more:

• GOV.UK Prototype Kit: Installation guide

• NHS Prototype Kit: Installation","working,setup-and-deployment,no-change"
Introduction to Git and GitHub,"Working | Setup and Deployment

What is this skill?:

Git is a version control system that tracks changes to your files over time. GitHub is a website that hosts Git repositories online, making it easy to back up your work and collaborate with others. Understanding the basics of both is essential before you start prototyping.

Why is it important?:

• Save your work safely – Git lets you save snapshots of your prototype that you can return to

• Undo mistakes – Accidentally break something? Git lets you go back to a working version

• Collaboration – Share your prototype with team members through GitHub

• Industry standard – Git is used everywhere in software development

Where to learn more:

• GitHub: Hello World guide

• Git basics in plain English

• GOV.UK Prototype Kit: GitHub Desktop

• GitHub Desktop download","working,setup-and-deployment,no-change"
Isolating patterns for reuse,"Expert | Components and Patterns

What is this skill?:

Isolating patterns for reuse involves extracting components from your prototype into standalone, well-documented modules that can be shared across projects or with other teams.

Why is it important?:

• Cross-project efficiency – Reuse proven patterns in future prototypes

• Team collaboration – Share components with colleagues

• Design system contribution – Prepare patterns for wider adoption

• Quality improvement – Isolated patterns get more attention and refinement

Where to learn more:

• GOV.UK Design System: Contribute

• NHS digital service manual: Contribute","expert,components-and-patterns,no-change"
Linking pages,"Working | Pages and Layouts

What is this skill?:

Linking pages involves creating anchor tags and navigation elements that connect different pages in your prototype. This is fundamental to building any user journey.

Why is it important?:

• User navigation – Links are how users move through your service

• Journey flow – Connect pages in the correct sequence

• Accessibility – Properly formed links work with screen readers and keyboards

• Foundation skill – All prototypes require linking pages together

Where to learn more:

• GOV.UK Prototype Kit: Create pages

• MDN Web Docs: Creating hyperlinks","working,pages-and-layouts,no-change"
Logic in routes.js,"Practitioner | Data and Logic

What is this skill?:

Logic in routes.js involves moving complex decision-making out of templates and into server-side JavaScript, making code cleaner and enabling more sophisticated processing.

Why is it important?:

• Cleaner templates – Keep views focused on presentation

• Complex logic – JavaScript offers more powerful programming features

• Reusability – Share logic across multiple routes

• Debugging – Easier to test and debug than template logic

Where to learn more:

• GOV.UK Prototype Kit: Create routes

• Express.js: Routing","practitioner,data-and-logic,no-change"
Looping through data,"Expert | Data and Logic

What is this skill?:

Looping through data involves using Nunjucks 'for' loops to iterate over arrays and objects, displaying lists of items dynamically from data.

Why is it important?:

• Dynamic lists – Generate lists from data rather than hard-coding

• Repeated patterns – Render the same component multiple times with different data

• Task lists – Display lists of tasks or items from session data

• Summary tables – Build tables from arrays of user responses

Where to learn more:

• Nunjucks: For

• GOV.UK Design System: Summary list","expert,data-and-logic,no-change"
